INDEX,LATITUDE_S,LATITUDE_N,LONGITUDE_W,LONGITUDE_E
0,40.491577,40.5357129,-74.274776,-74.2162738
1,40.491577,40.5357129,-74.2162738,-74.1577716
2,40.491577,40.5357129,-74.1577716,-74.0992694
3,40.491577,40.5357129,-74.0992694,-74.0407672
4,40.491577,40.5357129,-74.0407672,-73.982265
5,40.491577,40.5357129,-73.982265,-73.92376279999999
6,40.491577,40.5357129,-73.92376279999999,-73.8652606
7,40.491577,40.5357129,-73.8652606,-73.80675839999999
8,40.491577,40.5357129,-73.80675839999999,-73.7482562
9,40.491577,40.5357129,-73.7482562,-73.689754
10,40.5357129,40.5798488,-74.274776,-74.2162738
11,40.5357129,40.5798488,-74.2162738,-74.1577716
12,40.5357129,40.5798488,-74.1577716,-74.0992694
13,40.5357129,40.5798488,-74.0992694,-74.0407672
14,40.5357129,40.5798488,-74.0407672,-73.982265
15,40.5357129,40.5798488,-73.982265,-73.92376279999999
16,40.5357129,40.5798488,-73.92376279999999,-73.8652606
17,40.5357129,40.5798488,-73.8652606,-73.80675839999999
18,40.5357129,40.5798488,-73.80675839999999,-73.7482562
19,40.5357129,40.5798488,-73.7482562,-73.689754
20,40.5798488,40.6239847,-74.274776,-74.2162738
21,40.5798488,40.6239847,-74.2162738,-74.1577716
22,40.5798488,40.6239847,-74.1577716,-74.0992694
23,40.5798488,40.6239847,-74.0992694,-74.0407672
24,40.5798488,40.6239847,-74.0407672,-73.982265
25,40.5798488,40.6239847,-73.982265,-73.92376279999999
26,40.5798488,40.6239847,-73.92376279999999,-73.8652606
27,40.5798488,40.6239847,-73.8652606,-73.80675839999999
28,40.5798488,40.6239847,-73.80675839999999,-73.7482562
29,40.5798488,40.6239847,-73.7482562,-73.689754
30,40.6239847,40.6681206,-74.274776,-74.2162738
31,40.6239847,40.6681206,-74.2162738,-74.1577716
32,40.6239847,40.6681206,-74.1577716,-74.0992694
33,40.6239847,40.6681206,-74.0992694,-74.0407672
34,40.6239847,40.6681206,-74.0407672,-73.982265
35,40.6239847,40.6681206,-73.982265,-73.92376279999999
36,40.6239847,40.6681206,-73.92376279999999,-73.8652606
37,40.6239847,40.6681206,-73.8652606,-73.80675839999999
38,40.6239847,40.6681206,-73.80675839999999,-73.7482562
39,40.6239847,40.6681206,-73.7482562,-73.689754
40,40.6681206,40.712256499999995,-74.274776,-74.2162738
41,40.6681206,40.712256499999995,-74.2162738,-74.1577716
42,40.6681206,40.712256499999995,-74.1577716,-74.0992694
43,40.6681206,40.712256499999995,-74.0992694,-74.0407672
44,40.6681206,40.712256499999995,-74.0407672,-73.982265
45,40.6681206,40.712256499999995,-73.982265,-73.92376279999999
46,40.6681206,40.712256499999995,-73.92376279999999,-73.8652606
47,40.6681206,40.712256499999995,-73.8652606,-73.80675839999999
48,40.6681206,40.712256499999995,-73.80675839999999,-73.7482562
49,40.6681206,40.712256499999995,-73.7482562,-73.689754
50,40.712256499999995,40.756392399999996,-74.274776,-74.2162738
51,40.712256499999995,40.756392399999996,-74.2162738,-74.1577716
52,40.712256499999995,40.756392399999996,-74.1577716,-74.0992694
53,40.712256499999995,40.756392399999996,-74.0992694,-74.0407672
54,40.712256499999995,40.756392399999996,-74.0407672,-73.982265
55,40.712256499999995,40.756392399999996,-73.982265,-73.92376279999999
56,40.712256499999995,40.756392399999996,-73.92376279999999,-73.8652606
57,40.712256499999995,40.756392399999996,-73.8652606,-73.80675839999999
58,40.712256499999995,40.756392399999996,-73.80675839999999,-73.7482562
59,40.712256499999995,40.756392399999996,-73.7482562,-73.689754
60,40.756392399999996,40.800528299999996,-74.274776,-74.2162738
61,40.756392399999996,40.800528299999996,-74.2162738,-74.1577716
62,40.756392399999996,40.800528299999996,-74.1577716,-74.0992694
63,40.756392399999996,40.800528299999996,-74.0992694,-74.0407672
64,40.756392399999996,40.800528299999996,-74.0407672,-73.982265
65,40.756392399999996,40.800528299999996,-73.982265,-73.92376279999999
66,40.756392399999996,40.800528299999996,-73.92376279999999,-73.8652606
67,40.756392399999996,40.800528299999996,-73.8652606,-73.80675839999999
68,40.756392399999996,40.800528299999996,-73.80675839999999,-73.7482562
69,40.756392399999996,40.800528299999996,-73.7482562,-73.689754
70,40.800528299999996,40.8446642,-74.274776,-74.2162738
71,40.800528299999996,40.8446642,-74.2162738,-74.1577716
72,40.800528299999996,40.8446642,-74.1577716,-74.0992694
73,40.800528299999996,40.8446642,-74.0992694,-74.0407672
74,40.800528299999996,40.8446642,-74.0407672,-73.982265
75,40.800528299999996,40.8446642,-73.982265,-73.92376279999999
76,40.800528299999996,40.8446642,-73.92376279999999,-73.8652606
77,40.800528299999996,40.8446642,-73.8652606,-73.80675839999999
78,40.800528299999996,40.8446642,-73.80675839999999,-73.7482562
79,40.800528299999996,40.8446642,-73.7482562,-73.689754
80,40.8446642,40.8888001,-74.274776,-74.2162738
81,40.8446642,40.8888001,-74.2162738,-74.1577716
82,40.8446642,40.8888001,-74.1577716,-74.0992694
83,40.8446642,40.8888001,-74.0992694,-74.0407672
84,40.8446642,40.8888001,-74.0407672,-73.982265
85,40.8446642,40.8888001,-73.982265,-73.92376279999999
86,40.8446642,40.8888001,-73.92376279999999,-73.8652606
87,40.8446642,40.8888001,-73.8652606,-73.80675839999999
88,40.8446642,40.8888001,-73.80675839999999,-73.7482562
89,40.8446642,40.8888001,-73.7482562,-73.689754
90,40.8888001,40.932936,-74.274776,-74.2162738
91,40.8888001,40.932936,-74.2162738,-74.1577716
92,40.8888001,40.932936,-74.1577716,-74.0992694
